category_key,category
Geog/AgriReg,Geog
Geog/BuiltUp,Geog
Geog/CFA,Geog
Geog/EconArea,Geog
Geog/EducCons,Geog
Geog/ElecWard,Geog
Geog/ITL1,Geog
Geog/FireAuth,Geog
Geog/LA,Geog
Geog/LANP,Geog
Geog/LHB,Geog
Geog/NatPark,Geog
Geog/ITL2,Geog
Geog/ITL3,Geog
Geog/PolAuth,Geog
Geog/SenConst,Geog
Geog/SenReg,Geog
Geog/UK,Geog
Geog/WestConst,Geog
Geog/CityReg,Geog
Geog/LSOA,Geog
Geog/MSOA,Geog
ItnlGeog/Country,IntlGeog
Eth/Broad,Eth
Eth/Detailed,Eth
Gen/Gen,Gen
Rlgn/Rlgn,Rlgn
ServProv/HlthAuth,ServProv
ServProv/Hospital,ServProv
Age/All,Age
Age/Broad,Age
Age/SYA,Age
Age/5YR,Age
Age/10Y,Age
Age/Educ,Age
Age/NSW7,Age
Age/NSW3,Age
